SKU,BRANCH,STOCK
010301190002001,007,0.00
010301260002001,003,0.00
010301260002001,004,0.00
010301S10002001,001,0.00
010301S10002001,003,0.00
010301S10002001,004,0.00
010301S10002001,007,9.00
010302010002001,001,1.00
010302010002001,003,0.00
010302010002001,004,-1.00
010302010002001,007,0.00
010302020002001,001,1.00
010302020002001,003,3.00
010302020002001,004,0.00
010302020002001,006,1.00
010302020002001,007,1.00
010302020003001,001,0.00
010302020003001,003,0.00
010302190002001,001,0.00
010302190002001,003,0.00
010302190002001,004,0.00
010302190002001,007,0.00
010302200002001,001,1.00
010302200002001,003,0.00
010302200002001,004,0.00
010302200002001,006,1.00
010302260002001,001,0.00
010302260002001,003,0.00
010302260002001,004,0.00
010302260002001,007,0.00
010302270002001,001,0.00
010302270002001,003,2.00
010302270002001,004,0.00
010302270002001,007,0.00
01481001002,004,0.00
01481001002,006,1.00
01481001003,004,0.00
01481001003,006,0.00
01487001002,004,3.00
01487001002,006,1.00
01487001003,004,4.00
01487001003,006,1.00
01CAMEOIL002,006,0.00
020111190004002,001,0.00
020111190004002,006,0.00
020111190006001,003,0.00
020111190006001,006,1.00
020111190007001,003,0.00
020111190008001,001,0.00
020111190008001,003,1.00
020111190008001,006,0.00
020111190015001,001,0.00
020111190015001,003,0.00
020111190015001,006,0.00
020111190015001,007,0.00
020301020002002,001,0.00
020301020002002,003,1.00
020301020002002,004,0.00
020301020002002,006,0.00
020301020002002,007,0.00
020301020003001,001,4.00
020301020003001,003,3.00
020301020003001,004,6.00
020301020003001,007,0.00
020301190004001,003,0.00
020301190004001,004,1.00
020302020002001,003,0.00
020302020002001,004,0.00
02PAPABAL002,006,5.00
030111190024001,001,1.00
030111GS0002001,001,1.00
030111GS0003001,003,0.00
030111GS0004001,001,0.00
030118190011001,001,0.00
030118190011001,004,0.00
030131190002001,001,0.00
030131190002001,004,0.00
030131190002001,007,0.00
030301190005001,001,0.00
030301190005001,003,0.00
030301190005001,004,0.00
030301190007001,001,0.00
030301190007001,003,0.00
030301190007001,004,1.00
030302190012001,003,0.00
030302190016001,001,0.00
030302190016001,004,0.00
030302190016001,007,0.00
030302260002001,001,0.00
030302260002001,003,0.00
030302260002001,004,0.00
030303190003001,003,2.00
030303260002001,001,0.00
03TJU1601SS2003,003,0.00
03TJU1601SS2003,006,0.00
03TJU1601SS2003,007,0.00
03TJU1601SS2004,001,1.00
03TJU1601SS2004,003,0.00
03TJU1601SS2004,006,0.00
03TJU1601SS2005,003,1.00
03TJU1601SS2005,007,0.00
03TJU1601SS2006,001,0.00
03TJU1601SS2006,003,2.00
03TJU1601SS2006,004,0.00
03TJU1601SS2006,006,0.00
03TJU1601SS2007,003,1.00
03TJU1601SS2007,004,0.00
03TJU1601SS2010,007,0.00
03TJU1601SS2011,003,0.00
03TJU1601SS2011,006,1.00
03TJU1601SS2011,007,0.00
03TJU1601SS2012,001,0.00
03TJU1601SS2012,003,0.00
03TJU1601SS2012,006,0.00
03TJU1601SS2013,003,0.00
03TJU1601SS2013,006,0.00
03TJU1601SS2014,001,0.00
03TJU1601SS2014,003,2.00
03TJU1601SS2014,006,0.00
03TJU1601SS2015,003,1.00
03TJU1601SS2015,004,0.00
03TJU1601TS2004,003,0.00
03TJU1601TS2004,004,0.00
03TJU1601TS2005,001,0.00
03TJU1601TS2005,003,0.00
03TJU1601TS2005,004,0.00
03TJU1601TS2005,006,0.00
03TJU1601TS2005,007,0.00
03TJU1601TS2006,001,0.00
03TJU1601TS2006,003,0.00
03TJU1601TS2006,004,0.00
03TJU1601TS2006,006,0.00
03TJU1601TS2006,007,0.00
03TJU1601TS2007,001,0.00
03TJU1601TS2007,003,0.00
03TJU1601TS2007,004,0.00
03TJU1601TS2007,006,0.00
03TJU1601TS2007,007,0.00
03TJU1601TS2008,003,0.00
03TJU1601TS2008,004,0.00
03TJU1601TS2008,006,0.00
03TJU1601TS2009,001,0.00
03TJU1601TS2009,003,0.00
03TJU1601TS2009,007,0.00
03TJU1601TS2014,003,0.00
03TJU1601TS2014,007,0.00
03TJU1601TS2015,001,0.00
03TJU1601TS2015,003,0.00
03TJU1601TS2015,004,0.00
03TJU1601TS2015,006,0.00
03TJU1601TS2015,007,0.00
03TJU1601TS2016,001,0.00
03TJU1601TS2016,003,0.00
03TJU1601TS2016,004,0.00
03TJU1601TS2016,006,0.00
03TJU1601TS2016,007,0.00
03TJU1601TS2017,001,0.00
03TJU1601TS2017,003,0.00
03TJU1601TS2017,004,0.00
03TJU1601TS2017,007,1.00
03TJU1601TS2018,003,0.00
03TJU1601TS2018,004,0.00
03TJU1601TS2018,006,0.00
03TJU1601TS2018,007,0.00
03TJU1601TS2019,003,0.00
03TJU1601TS2019,007,0.00
03TJU1601TS2020,001,0.00
03TJU1601TS2020,003,0.00
03TJU1601TS2024,003,0.00
03TJU1601TS2024,004,0.00
03TJU1601TS2025,001,1.00
03TJU1601TS2025,003,0.00
03TJU1601TS2025,004,0.00
03TJU1601TS2025,006,0.00
03TJU1601TS2025,007,0.00
03TJU1601TS2026,001,0.00
03TJU1601TS2026,003,0.00
03TJU1601TS2026,004,0.00
03TJU1601TS2026,006,0.00
03TJU1601TS2026,007,0.00
03TJU1601TS2027,001,0.00
03TJU1601TS2027,003,0.00
03TJU1601TS2027,004,0.00
03TJU1601TS2027,006,0.00
03TJU1601TS2027,007,0.00
03TJU1601TS2028,001,0.00
03TJU1601TS2028,003,2.00
03TJU1601TS2028,007,1.00
03TJU1601TS2029,001,1.00
03TJU1601TS2029,003,0.00
03TJU1601TS2030,003,0.00
03TJU1601TS2034,003,0.00
03TJU1601TS2034,004,0.00
03TJU1601TS2035,001,0.00
03TJU1601TS2035,003,1.00
03TJU1601TS2035,004,0.00
03TJU1601TS2035,006,0.00
03TJU1601TS2036,003,1.00
03TJU1601TS2036,004,0.00
03TJU1601TS2036,006,0.00
